Date,Open,High,Low,Close,Volume
24-Jun-11,32.15,32.55,31.69,31.84,88726
23-Jun-11,31.80,32.25,31.18,32.19,124368
22-Jun-11,32.17,32.79,31.93,32.32,126483
21-Jun-11,31.23,32.45,31.23,32.24,217314
20-Jun-11,30.76,31.19,30.10,31.16,225192
17-Jun-11,31.04,31.31,30.43,30.89,287241
16-Jun-11,32.24,32.38,30.70,30.91,574988
15-Jun-11,33.01,33.95,32.24,32.39,257088
14-Jun-11,32.85,33.46,32.65,33.32,182080
13-Jun-11,33.26,33.50,31.87,32.45,298309
10-Jun-11,33.61,33.63,33.20,33.30,128463
9-Jun-11,33.34,33.75,33.10,33.62,138769
8-Jun-11,33.82,34.11,33.18,33.21,164160
7-Jun-11,33.56,34.00,33.10,33.86,279095
6-Jun-11,34.20,34.44,33.35,33.46,157726
3-Jun-11,34.42,34.68,34.13,34.28,169914
2-Jun-11,35.01,35.50,34.51,34.87,260980
1-Jun-11,35.45,35.84,34.71,34.81,568108
31-May-11,35.64,35.96,34.85,35.50,248607
27-May-11,35.25,35.25,35.25,35.25,0
26-May-11,34.95,35.24,34.64,35.04,214545
25-May-11,34.25,35.17,34.23,34.94,1428615
24-May-11,34.63,34.94,33.82,34.52,159137
23-May-11,34.51,34.51,33.82,34.01,168344
20-May-11,34.55,35.24,33.93,34.99,202960
19-May-11,35.24,35.59,34.38,34.59,258408
18-May-11,34.49,35.21,34.40,35.13,487726
17-May-11,35.32,35.37,33.90,34.34,559307
16-May-11,36.16,36.50,34.61,35.53,547306
13-May-11,34.36,36.83,34.12,36.59,1902698
12-May-11,32.94,32.94,31.83,32.21,390755
11-May-11,34.42,34.49,32.68,32.90,253140
10-May-11,34.01,34.71,33.90,34.20,239758
9-May-11,32.90,33.96,32.88,33.87,275406
6-May-11,32.63,33.29,32.42,32.74,366677
5-May-11,32.03,32.83,31.34,32.15,836585
4-May-11,34.34,34.35,32.09,32.75,1943951
3-May-11,36.25,36.46,34.12,34.88,906450
2-May-11,37.05,37.17,36.52,36.75,531801
29-Apr-11,37.31,37.90,36.66,36.96,438724
28-Apr-11,36.05,37.38,35.94,37.13,677317
27-Apr-11,35.19,36.20,34.76,36.05,299316
26-Apr-11,35.43,35.43,34.79,35.15,279227
25-Apr-11,35.88,35.88,35.07,35.32,351589
21-Apr-11,35.88,35.88,35.88,35.88,0
20-Apr-11,36.15,36.66,35.74,35.85,199976
19-Apr-11,36.05,36.18,35.08,35.73,261378
18-Apr-11,36.01,36.04,34.99,35.95,250732
15-Apr-11,35.82,36.75,35.36,36.30,368446
14-Apr-11,34.33,36.40,34.33,35.76,1230942
13-Apr-11,33.62,34.64,33.57,34.35,460133
12-Apr-11,32.29,33.77,31.71,33.39,2686661
11-Apr-11,33.75,33.92,32.32,32.65,383793
8-Apr-11,33.52,33.99,33.43,33.74,348959
7-Apr-11,33.11,33.70,33.01,33.55,243757
6-Apr-11,34.25,34.47,32.85,33.16,356738
5-Apr-11,34.71,34.86,34.06,34.12,133167
4-Apr-11,34.29,34.80,34.23,34.80,296610
1-Apr-11,34.71,34.84,34.13,34.32,220287
31-Mar-11,34.09,34.61,34.07,34.50,170429
30-Mar-11,33.46,34.06,33.33,34.06,128092
29-Mar-11,33.35,33.60,33.13,33.40,121812
28-Mar-11,34.21,34.21,33.32,33.34,175028
25-Mar-11,33.87,34.36,33.87,34.12,128311
24-Mar-11,33.69,34.30,33.56,33.92,143814
23-Mar-11,33.73,34.19,33.28,33.98,184816
22-Mar-11,33.80,34.43,33.60,33.74,553249
21-Mar-11,33.90,34.29,33.48,33.74,683451
18-Mar-11,34.63,34.74,33.26,33.52,1184788
17-Mar-11,33.26,33.99,32.53,33.96,994296
16-Mar-11,31.41,32.98,31.08,32.25,832287
15-Mar-11,29.61,31.46,29.31,31.44,584518
14-Mar-11,30.10,30.46,29.50,30.34,350373
11-Mar-11,29.53,30.19,29.37,29.91,596219
10-Mar-11,30.54,30.67,29.32,29.77,614520
9-Mar-11,31.12,31.24,30.72,30.91,833400
8-Mar-11,30.31,31.40,30.31,31.17,954277
7-Mar-11,29.99,30.72,29.67,30.31,2385469
4-Mar-11,28.96,29.12,28.75,28.92,222834
3-Mar-11,28.67,29.35,28.67,28.97,261603
2-Mar-11,28.91,29.05,28.50,28.63,260545
1-Mar-11,29.63,30.10,28.75,28.90,610222
28-Feb-11,28.84,29.54,28.81,29.49,296087
25-Feb-11,28.00,28.94,28.00,28.79,360545
24-Feb-11,28.05,28.47,27.87,27.99,354218
23-Feb-11,28.04,28.09,27.62,28.05,487631
22-Feb-11,28.00,28.73,27.57,27.69,774282
18-Feb-11,29.24,29.24,29.24,29.24,0
17-Feb-11,29.35,29.88,29.09,29.13,631609
16-Feb-11,28.84,29.48,28.80,29.25,412986
15-Feb-11,28.98,29.61,28.80,28.85,543526
14-Feb-11,28.01,29.04,27.96,28.95,927386
11-Feb-11,27.55,28.04,27.25,28.00,428332
10-Feb-11,27.26,27.62,26.88,27.62,637495
9-Feb-11,26.19,27.48,26.10,27.25,1013537
8-Feb-11,25.55,26.28,25.18,26.27,377057
7-Feb-11,25.60,26.26,25.60,25.68,642635
4-Feb-11,25.16,25.59,25.12,25.49,353316
3-Feb-11,24.43,25.49,24.43,25.16,1218003
2-Feb-11,24.50,24.63,24.41,24.51,552678
1-Feb-11,24.35,24.55,24.28,24.46,1169485
31-Jan-11,23.71,24.34,23.64,24.26,231234
28-Jan-11,23.96,24.07,23.63,23.76,390315
27-Jan-11,24.01,24.10,23.56,23.99,408996
26-Jan-11,24.14,24.29,24.05,24.08,265291
25-Jan-11,24.33,24.61,24.13,24.18,330689
24-Jan-11,24.06,24.41,23.82,24.37,311965
21-Jan-11,24.41,24.76,24.02,24.13,219231
20-Jan-11,24.46,24.46,24.00,24.38,800248
19-Jan-11,24.59,24.79,24.13,24.52,262846
18-Jan-11,24.53,24.75,24.37,24.64,409812
14-Jan-11,24.50,24.50,24.50,24.50,0
13-Jan-11,24.75,24.75,24.29,24.65,584809
12-Jan-11,23.97,24.83,23.84,24.79,527412
11-Jan-11,24.00,24.16,23.76,23.95,310420
10-Jan-11,23.95,24.07,23.88,23.97,170348
7-Jan-11,23.78,24.08,23.77,24.00,340905
6-Jan-11,24.26,24.30,23.42,23.78,867923
5-Jan-11,24.53,24.57,24.15,24.31,305773
4-Jan-11,24.96,24.96,24.45,24.59,252544
3-Jan-11,24.76,25.00,24.70,24.89,338581
31-Dec-10,24.88,24.94,24.62,24.67,248747
30-Dec-10,25.41,25.45,24.76,24.85,228305
29-Dec-10,25.50,25.77,25.41,25.41,176130
28-Dec-10,24.60,25.53,24.60,25.45,298775
27-Dec-10,24.57,24.61,24.37,24.55,74665
23-Dec-10,24.59,24.59,24.59,24.59,0
22-Dec-10,25.02,25.05,24.64,24.77,199097
21-Dec-10,24.75,25.10,24.74,24.87,242569
20-Dec-10,24.31,24.68,24.30,24.62,263693
17-Dec-10,24.21,24.69,24.12,24.18,235364
16-Dec-10,24.15,24.20,23.80,24.16,321296
15-Dec-10,24.41,24.58,24.00,24.07,245767
14-Dec-10,24.81,25.00,24.47,24.52,202639
13-Dec-10,25.25,25.25,24.75,24.82,200979
10-Dec-10,24.62,25.23,24.55,24.87,206055
9-Dec-10,24.54,24.80,24.40,24.54,160036
8-Dec-10,25.37,25.69,24.52,24.60,477705
7-Dec-10,25.68,25.80,25.28,25.35,260002
6-Dec-10,25.49,25.80,25.43,25.50,333886
3-Dec-10,24.97,25.31,24.81,25.31,336398
2-Dec-10,24.58,24.81,24.32,24.78,402420
1-Dec-10,24.12,24.50,24.00,24.24,212933
30-Nov-10,24.22,24.36,23.50,23.79,321537
29-Nov-10,24.34,24.69,23.84,24.40,284771
26-Nov-10,24.10,24.44,24.10,24.17,131016
24-Nov-10,23.98,23.98,23.98,23.98,0
23-Nov-10,24.71,24.71,23.95,24.33,322086
22-Nov-10,24.59,25.00,24.40,24.78,601856
19-Nov-10,24.22,24.27,23.80,24.27,302014
18-Nov-10,24.11,24.41,23.88,24.21,360976
17-Nov-10,23.95,23.95,23.33,23.66,320239
16-Nov-10,24.00,24.03,22.94,23.38,670384
15-Nov-10,24.70,24.72,23.90,24.00,709793
12-Nov-10,24.75,24.82,23.71,24.23,930481
11-Nov-10,24.05,24.30,23.60,24.08,779008
10-Nov-10,23.31,24.50,22.87,24.20,1715709
9-Nov-10,23.71,23.86,21.24,23.46,3406918
8-Nov-10,19.70,20.03,19.70,19.85,261877
5-Nov-10,19.97,20.05,19.80,19.93,349837
4-Nov-10,19.74,20.20,19.74,19.95,425463
3-Nov-10,20.00,20.16,19.78,20.02,332192
2-Nov-10,20.03,20.10,19.80,20.00,322925
1-Nov-10,19.86,20.11,19.70,19.86,351057
29-Oct-10,19.84,19.88,19.50,19.79,331152
28-Oct-10,19.87,19.93,19.43,19.72,246896
27-Oct-10,19.60,19.84,19.40,19.73,272590
26-Oct-10,20.00,20.00,19.67,19.77,346273
25-Oct-10,20.01,20.13,19.74,19.98,480536
22-Oct-10,19.20,19.79,19.14,19.78,286873
21-Oct-10,19.51,19.92,19.05,19.08,494504
