Date,Open,High,Low,Close,Volume
24-Jun-11,46.20,46.33,44.93,45.04,1411566
23-Jun-11,45.71,46.20,44.11,45.92,1049017
22-Jun-11,47.53,47.78,45.99,46.16,1601679
21-Jun-11,44.55,46.63,44.39,45.81,1609088
20-Jun-11,42.81,44.88,42.76,44.04,1125639
17-Jun-11,42.77,43.82,42.70,43.04,1229567
16-Jun-11,42.12,43.03,41.43,42.44,838997
15-Jun-11,42.30,43.43,42.00,42.16,730132
14-Jun-11,41.42,42.94,41.33,42.82,742627
13-Jun-11,41.09,41.68,40.61,40.95,796905
10-Jun-11,42.08,42.26,40.35,41.17,894515
9-Jun-11,41.83,42.66,41.60,42.28,488740
8-Jun-11,41.17,42.64,40.94,41.77,774322
7-Jun-11,41.14,41.62,40.90,41.42,662780
6-Jun-11,41.94,42.23,40.61,40.87,797635
3-Jun-11,42.35,43.08,41.88,41.91,833049
2-Jun-11,42.78,43.60,42.43,43.05,683386
1-Jun-11,43.88,44.35,42.91,43.00,840793
31-May-11,43.07,43.87,42.99,43.85,704796
27-May-11,42.67,42.67,42.67,42.67,0
26-May-11,41.61,42.59,41.34,42.47,601203
25-May-11,40.87,41.80,40.71,41.77,667767
24-May-11,42.35,42.49,40.69,41.11,780356
23-May-11,42.22,42.76,41.67,42.35,602397
20-May-11,44.08,44.42,42.98,43.09,598667
19-May-11,44.50,45.11,44.10,44.27,661794
18-May-11,43.36,44.35,43.14,44.24,588191
17-May-11,43.78,44.40,43.19,43.35,589057
16-May-11,43.15,44.87,42.89,44.06,929082
13-May-11,42.70,44.12,42.61,43.44,1487584
12-May-11,42.71,42.71,41.44,41.84,1145690
11-May-11,43.84,43.91,42.25,42.90,718626
10-May-11,43.57,43.98,43.02,43.84,663185
9-May-11,43.26,43.29,42.63,43.21,487812
6-May-11,42.84,44.47,42.82,43.16,998306
5-May-11,41.00,42.43,40.11,42.09,818968
4-May-11,43.17,43.17,41.36,41.49,794189
3-May-11,43.61,44.37,42.82,43.27,1407274
2-May-11,41.40,43.97,41.40,43.74,2120291
29-Apr-11,41.44,41.53,40.45,41.49,1763092
28-Apr-11,40.72,41.39,40.69,41.22,767130
27-Apr-11,40.74,40.87,39.80,40.24,731327
26-Apr-11,39.82,41.53,39.82,40.60,825789
25-Apr-11,40.15,40.29,39.19,39.56,563966
21-Apr-11,40.15,40.15,40.15,40.15,0
20-Apr-11,38.81,39.05,38.53,38.70,488637
19-Apr-11,37.94,38.32,37.85,38.25,560699
18-Apr-11,37.95,38.17,37.41,37.83,963179
15-Apr-11,37.83,38.77,37.83,38.54,643552
14-Apr-11,37.45,37.97,36.75,37.91,1166674
13-Apr-11,38.35,38.47,36.78,37.57,1085687
12-Apr-11,38.82,39.15,38.16,38.18,818513
11-Apr-11,38.62,39.14,38.44,39.00,649570
8-Apr-11,39.54,39.54,38.06,38.60,916697
7-Apr-11,38.90,39.63,38.66,38.94,602704
6-Apr-11,40.01,40.15,38.61,38.79,835608
5-Apr-11,40.06,40.69,39.25,39.97,1102810
4-Apr-11,40.01,40.78,39.62,40.10,1620264
1-Apr-11,37.50,39.58,37.49,39.02,1666284
31-Mar-11,37.26,37.46,36.87,37.37,887153
30-Mar-11,37.00,37.27,36.78,37.23,762115
29-Mar-11,36.81,37.01,36.47,36.92,890326
