Date,Open,High,Low,Close,Volume
24-Jun-11,32.21,32.34,30.64,30.86,4694396
23-Jun-11,31.70,32.33,31.01,32.19,311017
22-Jun-11,32.60,32.60,31.93,32.12,242943
21-Jun-11,31.23,32.82,30.90,32.56,293413
20-Jun-11,30.76,31.32,30.34,31.32,274402
17-Jun-11,33.42,33.42,30.75,31.01,240276
16-Jun-11,31.83,33.75,31.83,33.20,248745
15-Jun-11,33.55,33.70,32.88,33.33,202698
14-Jun-11,33.95,33.95,33.64,33.72,292559
13-Jun-11,33.02,33.85,33.02,33.66,312611
10-Jun-11,33.16,33.61,32.83,33.03,322836
9-Jun-11,32.63,33.59,32.36,33.22,148995
8-Jun-11,32.28,32.60,31.94,32.41,218659
7-Jun-11,32.38,32.88,32.01,32.31,170980
6-Jun-11,32.63,32.81,31.95,32.18,140274
3-Jun-11,32.26,32.95,31.48,32.53,151256
2-Jun-11,32.45,33.19,32.40,32.70,125229
1-Jun-11,33.91,34.22,32.37,32.47,191798
31-May-11,33.33,34.24,33.09,33.89,381596
27-May-11,33.03,33.03,33.03,33.03,0
26-May-11,31.85,32.67,31.55,32.53,101435
25-May-11,31.26,31.97,31.26,31.89,60961
24-May-11,31.35,31.86,31.30,31.51,89672
23-May-11,31.50,31.60,31.02,31.32,100336
20-May-11,32.29,32.29,31.50,31.74,84384
19-May-11,32.63,32.71,31.99,32.35,82932
18-May-11,31.17,32.71,31.02,32.20,227779
17-May-11,31.61,31.79,31.09,31.25,216876
16-May-11,32.17,32.92,32.12,32.35,187190
13-May-11,32.38,32.80,32.15,32.73,130245
12-May-11,32.61,33.18,32.14,32.45,195767
11-May-11,31.30,32.69,31.30,32.60,230123
10-May-11,34.00,34.50,31.00,31.67,604797
9-May-11,34.30,35.13,34.29,34.69,297756
6-May-11,33.56,34.24,33.09,34.08,199930
5-May-11,31.91,33.32,31.23,33.24,272118
4-May-11,33.44,33.61,31.73,32.50,306583
3-May-11,35.71,35.80,32.85,33.74,455777
2-May-11,38.24,38.24,36.01,36.20,219049
29-Apr-11,36.45,38.15,36.45,37.66,205672
28-Apr-11,35.00,36.29,34.90,36.29,243656
27-Apr-11,35.48,35.81,34.37,35.04,109072
26-Apr-11,35.90,35.97,35.25,35.43,141020
25-Apr-11,35.19,36.44,34.79,35.25,178053
21-Apr-11,34.70,34.70,34.70,34.70,0
20-Apr-11,33.95,34.93,33.53,33.82,145163
19-Apr-11,32.80,33.64,32.50,33.37,113809
18-Apr-11,32.96,32.96,32.16,32.94,70334
15-Apr-11,32.57,33.38,32.01,33.14,198124
14-Apr-11,32.20,32.49,31.81,32.46,196520
13-Apr-11,32.00,32.32,31.87,32.29,154342
12-Apr-11,32.39,33.04,31.45,31.75,114991
11-Apr-11,33.48,33.68,32.07,32.34,126849
8-Apr-11,32.50,32.79,32.14,32.41,73471
7-Apr-11,33.13,33.23,32.13,32.40,118358
6-Apr-11,32.44,33.46,32.16,32.95,257693
5-Apr-11,31.52,32.01,31.22,32.01,149254
4-Apr-11,31.49,31.85,31.17,31.39,202437
1-Apr-11,32.24,32.50,30.04,31.01,171025
31-Mar-11,31.65,32.17,31.27,31.94,88316
30-Mar-11,29.77,32.14,29.51,31.40,238134
29-Mar-11,29.34,29.50,29.14,29.33,50107
28-Mar-11,29.78,30.00,29.00,29.24,96013
25-Mar-11,29.19,29.46,29.01,29.25,93392
24-Mar-11,29.54,29.85,29.01,29.17,86384
23-Mar-11,28.07,29.24,27.75,29.00,72566
22-Mar-11,28.45,28.60,28.01,28.07,43487
21-Mar-11,27.86,28.77,27.81,28.50,100709
18-Mar-11,28.56,28.97,27.52,27.52,224328
17-Mar-11,28.39,28.67,27.77,28.15,54582
16-Mar-11,28.74,28.89,27.38,27.87,126061
15-Mar-11,28.84,29.08,28.24,28.64,108087
14-Mar-11,28.03,29.30,28.03,29.14,128351
11-Mar-11,27.82,28.16,27.57,27.95,126516
10-Mar-11,28.01,28.70,27.55,28.09,106369
9-Mar-11,29.10,29.11,28.13,28.58,115112
8-Mar-11,29.24,29.25,28.52,28.52,232076
7-Mar-11,30.05,32.11,28.24,28.89,565765
4-Mar-11,26.64,26.64,25.67,26.35,92744
3-Mar-11,26.25,27.09,26.25,26.58,47156
2-Mar-11,25.87,26.10,25.36,26.10,109391
1-Mar-11,26.98,26.98,25.35,25.61,236055
28-Feb-11,26.96,27.29,26.60,26.81,170388
25-Feb-11,27.08,27.08,26.15,26.96,139575
24-Feb-11,27.49,27.49,26.15,26.87,153706
23-Feb-11,27.07,27.73,26.60,27.20,245686
22-Feb-11,27.04,27.10,25.51,25.89,117358
18-Feb-11,27.11,27.11,27.11,27.11,0
17-Feb-11,26.48,27.26,26.45,26.72,172662
16-Feb-11,25.95,27.31,25.51,26.44,267511
15-Feb-11,23.48,23.63,23.34,23.48,75751
14-Feb-11,23.10,23.44,23.05,23.31,33041
11-Feb-11,22.25,23.02,22.13,22.96,79312
10-Feb-11,23.33,23.50,22.37,22.42,59691
9-Feb-11,22.27,23.62,22.27,23.29,42697
8-Feb-11,23.00,23.24,22.82,22.98,41449
7-Feb-11,22.50,23.60,22.50,22.99,79326
4-Feb-11,20.53,22.38,20.53,22.35,80214
3-Feb-11,20.35,20.62,20.30,20.58,67471
2-Feb-11,20.33,20.77,20.24,20.46,63658
1-Feb-11,20.20,20.55,20.04,20.31,66360
31-Jan-11,20.07,20.17,19.96,20.12,63439
28-Jan-11,20.00,20.13,19.69,19.88,35516
27-Jan-11,20.19,20.27,19.98,19.98,21081
26-Jan-11,19.40,20.34,19.40,20.19,39430
25-Jan-11,19.03,19.58,18.53,19.54,53208
24-Jan-11,19.44,19.68,19.09,19.16,83780
21-Jan-11,19.50,19.66,19.18,19.46,36579
20-Jan-11,19.98,19.98,19.14,19.38,79191
19-Jan-11,20.48,20.59,19.99,20.08,88536
18-Jan-11,20.47,20.66,20.40,20.50,86993
14-Jan-11,20.36,20.36,20.36,20.36,0
13-Jan-11,20.76,20.83,20.51,20.61,27366
12-Jan-11,20.80,20.96,20.64,20.73,31179
11-Jan-11,20.92,21.33,20.49,20.61,41281
10-Jan-11,20.36,20.73,20.15,20.67,50415
7-Jan-11,20.47,20.48,20.20,20.47,141207
6-Jan-11,20.48,20.51,20.23,20.39,38634
5-Jan-11,20.12,20.66,19.89,20.51,118823
4-Jan-11,20.78,20.79,19.79,20.27,106537
3-Jan-11,20.50,21.19,20.43,20.68,54685
31-Dec-10,20.50,20.62,20.19,20.40,152897
30-Dec-10,20.73,20.99,20.39,20.50,59096
29-Dec-10,20.84,21.08,20.73,21.00,23992
28-Dec-10,20.89,20.96,20.07,20.85,65280
27-Dec-10,21.07,21.07,20.65,20.96,42563
23-Dec-10,20.98,20.98,20.98,20.98,0
22-Dec-10,21.26,21.91,21.15,21.58,57180
21-Dec-10,21.65,21.79,21.15,21.15,81768
20-Dec-10,21.84,21.99,21.63,21.65,100030
17-Dec-10,22.08,22.08,21.62,21.80,157520
16-Dec-10,21.85,22.07,21.33,22.00,92298
15-Dec-10,22.13,22.63,21.73,21.85,141009
14-Dec-10,22.08,22.27,22.03,22.12,87183
13-Dec-10,21.80,22.08,21.80,21.97,62193
10-Dec-10,22.26,22.26,21.74,21.76,35831
9-Dec-10,21.91,22.32,21.91,22.25,55676
8-Dec-10,22.52,22.63,21.68,21.73,86565
7-Dec-10,22.49,22.85,22.21,22.40,110283
6-Dec-10,21.05,22.24,21.05,22.19,54414
3-Dec-10,21.56,21.68,21.10,21.13,69652
2-Dec-10,21.89,22.02,21.63,21.66,57351
1-Dec-10,21.62,22.13,21.49,21.80,89148
30-Nov-10,20.85,21.45,20.53,21.45,430669
29-Nov-10,20.49,21.38,20.40,21.09,132044
26-Nov-10,20.17,20.79,20.17,20.54,19944
24-Nov-10,20.63,20.63,20.63,20.63,0
23-Nov-10,20.20,20.36,20.00,20.15,74868
22-Nov-10,20.68,20.69,19.89,20.44,79852
19-Nov-10,20.70,20.92,20.55,20.63,61009
18-Nov-10,20.70,21.26,20.58,20.68,59985
17-Nov-10,19.75,20.64,19.75,20.39,88142
16-Nov-10,19.75,20.21,19.54,19.71,105417
15-Nov-10,19.85,20.17,19.42,19.87,133309
12-Nov-10,19.70,20.03,19.46,19.85,60069
11-Nov-10,19.48,20.12,19.47,19.87,115201
10-Nov-10,19.66,20.13,19.47,19.76,204899
9-Nov-10,19.47,19.80,19.40,19.70,88949
8-Nov-10,19.52,19.86,19.21,19.48,156676
5-Nov-10,18.15,19.54,18.15,19.25,275093
4-Nov-10,17.86,18.34,17.85,18.11,89395
3-Nov-10,17.60,17.80,17.46,17.67,111271
2-Nov-10,17.55,17.95,17.31,17.59,123884
1-Nov-10,17.18,17.47,16.67,16.90,47797
29-Oct-10,16.25,17.01,15.40,16.93,55619
28-Oct-10,16.34,16.46,15.91,16.29,84244
27-Oct-10,16.65,16.69,16.04,16.43,120858
26-Oct-10,16.80,17.19,16.73,16.79,64523
25-Oct-10,17.09,17.36,16.96,16.96,32556
22-Oct-10,16.99,17.40,16.89,16.93,36475
21-Oct-10,16.93,17.27,16.60,16.99,44264
20-Oct-10,16.29,17.22,16.13,16.77,24758
19-Oct-10,16.35,16.60,15.96,16.25,51603
18-Oct-10,16.56,16.66,16.46,16.51,26861
15-Oct-10,16.89,16.98,16.44,16.51,75338
14-Oct-10,16.93,16.93,16.54,16.72,71711
13-Oct-10,16.65,17.00,16.45,16.93,93380
12-Oct-10,16.47,16.59,16.25,16.48,87491
11-Oct-10,16.34,16.61,16.24,16.42,109066
8-Oct-10,16.23,16.52,16.05,16.35,72980
7-Oct-10,16.50,16.55,16.32,16.40,93232
6-Oct-10,16.45,16.70,16.33,16.44,90799
5-Oct-10,16.37,17.09,16.23,16.50,184439
4-Oct-10,15.29,16.27,15.29,16.12,551345
1-Oct-10,15.33,15.60,15.26,15.38,46806
30-Sep-10,14.90,15.35,14.84,15.23,55858
29-Sep-10,14.76,14.89,14.70,14.86,26359
28-Sep-10,14.86,14.97,14.55,14.81,49203
27-Sep-10,14.32,14.99,14.20,14.86,45853
24-Sep-10,14.40,14.45,14.08,14.34,84531
23-Sep-10,14.14,14.31,14.06,14.25,61699
22-Sep-10,14.24,14.37,14.09,14.25,137329
21-Sep-10,14.57,14.57,14.05,14.24,112417
20-Sep-10,14.28,14.79,14.27,14.49,162152
17-Sep-10,14.65,14.65,14.23,14.25,101998
16-Sep-10,14.34,14.85,14.34,14.56,145950
15-Sep-10,14.04,14.29,13.91,14.20,50545
14-Sep-10,13.83,14.16,13.74,14.07,86388
13-Sep-10,13.65,14.28,12.70,13.84,97721
10-Sep-10,13.71,13.79,13.44,13.60,48100
9-Sep-10,13.80,13.80,13.30,13.64,69282
8-Sep-10,13.20,13.86,13.20,13.60,367119
7-Sep-10,13.45,13.50,13.17,13.19,59713
6-Sep-10,13.47,13.47,13.47,13.47,0
3-Sep-10,13.47,13.47,13.47,13.47,0
2-Sep-10,12.91,13.37,12.83,13.25,52635
1-Sep-10,12.55,13.10,12.38,13.00,121306
31-Aug-10,11.99,12.45,11.96,12.40,127054
30-Aug-10,11.80,12.04,11.80,11.93,51037
27-Aug-10,11.87,11.95,11.59,11.87,59158
26-Aug-10,11.71,11.89,11.51,11.74,77197
25-Aug-10,11.50,11.67,11.32,11.62,71158
24-Aug-10,11.52,11.56,11.52,11.52,114330
23-Aug-10,11.84,11.99,11.59,11.70,55278
20-Aug-10,11.84,11.94,11.74,11.77,67048
19-Aug-10,12.28,12.28,11.76,11.92,65207
18-Aug-10,11.95,12.39,11.80,12.34,60016
17-Aug-10,11.93,12.15,11.93,11.94,54967
16-Aug-10,11.64,12.06,11.60,11.82,74677
13-Aug-10,11.79,11.79,11.50,11.66,36218
12-Aug-10,11.63,11.98,11.63,11.76,41739
11-Aug-10,11.81,11.98,11.72,11.83,70564
10-Aug-10,12.05,12.35,11.91,12.17,56909
9-Aug-10,12.08,12.35,11.82,12.24,115039
6-Aug-10,12.06,12.33,11.64,11.81,73424
5-Aug-10,12.08,12.52,11.88,12.27,84007
4-Aug-10,12.87,13.00,12.06,12.11,169248
3-Aug-10,11.01,11.88,10.75,11.76,201318
2-Aug-10,11.39,11.94,10.97,11.07,695953
30-Jul-10,11.25,11.49,10.87,11.00,115029
29-Jul-10,11.41,11.60,11.10,11.51,102035
28-Jul-10,11.50,11.60,11.25,11.34,95453
27-Jul-10,11.62,11.82,11.47,11.50,52009
26-Jul-10,11.29,11.70,11.25,11.57,55340
23-Jul-10,10.94,11.49,10.88,11.29,94594
22-Jul-10,10.90,11.10,10.81,10.90,71073
21-Jul-10,10.44,10.91,10.44,10.73,87446
20-Jul-10,10.00,10.52,10.00,10.34,117620
19-Jul-10,10.03,10.18,9.98,10.07,54814
16-Jul-10,10.00,10.29,9.99,10.04,78728
15-Jul-10,10.13,10.20,9.84,10.11,55679
14-Jul-10,10.22,10.33,10.10,10.16,63540
13-Jul-10,10.01,10.34,9.84,10.21,91291
12-Jul-10,9.70,9.87,9.51,9.76,71537
9-Jul-10,9.66,9.84,9.55,9.80,31933
8-Jul-10,9.71,10.16,9.52,9.73,146187
7-Jul-10,8.68,9.66,8.68,9.56,220835
6-Jul-10,9.54,9.54,8.67,8.68,127845
5-Jul-10,9.31,9.31,9.31,9.31,0
2-Jul-10,9.31,9.31,9.31,9.31,0
1-Jul-10,9.42,9.65,9.23,9.42,145287
30-Jun-10,9.84,10.01,9.36,9.38,168495
29-Jun-10,10.13,10.17,9.81,9.91,170366
28-Jun-10,10.40,10.65,10.12,10.38,198892
