Date,Open,High,Low,Close,Volume
24-Jun-11,13.57,13.79,13.00,13.42,2352250
23-Jun-11,13.76,13.76,13.40,13.56,313003
22-Jun-11,13.40,14.11,13.00,13.99,300854
21-Jun-11,13.50,13.50,13.37,13.47,223047
20-Jun-11,13.38,13.45,13.32,13.41,109077
17-Jun-11,13.38,13.50,13.22,13.44,105253
16-Jun-11,13.44,13.52,13.14,13.29,198412
15-Jun-11,13.55,13.55,13.27,13.41,185556
14-Jun-11,13.02,13.85,12.83,13.58,232690
13-Jun-11,12.91,13.35,12.85,12.87,267768
10-Jun-11,12.99,12.99,12.64,12.95,177555
9-Jun-11,12.92,13.14,12.75,13.05,217327
8-Jun-11,12.88,13.00,12.72,12.92,174175
7-Jun-11,12.35,13.05,12.35,12.93,268253
6-Jun-11,12.78,12.91,12.16,12.27,96953
3-Jun-11,12.61,12.99,12.50,12.80,116955
2-Jun-11,12.79,12.93,12.64,12.72,110934
1-Jun-11,12.93,13.09,12.72,12.80,131364
31-May-11,12.93,13.00,12.64,12.97,207017
27-May-11,12.85,12.85,12.85,12.85,0
26-May-11,12.64,12.77,12.51,12.70,95527
25-May-11,12.41,12.81,12.16,12.65,123025
24-May-11,12.75,12.92,12.38,12.42,198515
23-May-11,12.67,12.96,12.67,12.74,107769
20-May-11,12.46,12.88,12.46,12.85,168728
19-May-11,12.48,13.00,12.38,12.40,556514
18-May-11,12.25,12.55,12.10,12.43,324480
17-May-11,12.68,12.69,12.11,12.29,196902
16-May-11,12.28,12.80,11.99,12.77,219486
13-May-11,12.32,12.47,12.15,12.31,99950
12-May-11,12.16,12.45,12.10,12.37,142647
11-May-11,12.05,12.38,11.97,12.24,220473
10-May-11,11.90,12.23,11.81,12.09,316424
9-May-11,11.02,11.95,10.35,11.94,544446
6-May-11,13.00,13.00,10.80,11.03,600744
5-May-11,12.26,12.74,12.25,12.69,231121
4-May-11,12.26,12.61,11.77,12.33,319661
3-May-11,12.71,12.99,12.10,12.31,356595
2-May-11,12.89,13.00,12.69,12.86,142453
29-Apr-11,13.00,13.14,12.87,12.88,150463
28-Apr-11,12.88,13.14,12.78,13.04,145607
27-Apr-11,13.32,13.37,12.61,12.93,291727
26-Apr-11,12.94,13.36,12.55,13.28,340434
25-Apr-11,13.68,13.68,12.73,12.96,467496
21-Apr-11,13.71,13.71,13.71,13.71,0
20-Apr-11,13.94,14.14,13.84,13.88,190537
19-Apr-11,13.95,14.10,13.55,13.79,187856
18-Apr-11,14.39,14.42,13.90,14.00,238414
15-Apr-11,13.92,14.42,13.92,14.42,290266
14-Apr-11,14.02,14.02,13.61,13.89,168258
13-Apr-11,13.71,14.09,13.66,14.01,150640
12-Apr-11,14.00,14.12,13.34,13.63,286337
11-Apr-11,14.40,14.40,13.91,13.97,296123
8-Apr-11,14.56,14.87,14.35,14.43,258856
7-Apr-11,14.89,14.89,14.27,14.53,319288
6-Apr-11,14.03,14.94,14.01,14.81,784288
5-Apr-11,13.60,13.97,13.46,13.85,219139
4-Apr-11,13.75,13.86,13.35,13.63,298600
1-Apr-11,13.50,13.82,13.31,13.68,305302
31-Mar-11,13.87,13.90,13.42,13.49,270420
30-Mar-11,13.36,13.99,13.27,13.89,431869
29-Mar-11,14.20,14.32,12.45,13.37,1550792
28-Mar-11,14.49,14.55,14.12,14.18,480513
25-Mar-11,14.35,14.95,14.26,14.48,494420
24-Mar-11,14.05,14.55,14.05,14.25,640750
23-Mar-11,13.63,14.09,13.30,13.97,662665
22-Mar-11,12.79,13.78,12.67,13.70,990514
21-Mar-11,12.45,12.68,12.45,12.66,529451
18-Mar-11,12.44,12.45,12.15,12.36,170382
17-Mar-11,12.45,12.47,12.28,12.34,198949
16-Mar-11,12.40,12.48,12.27,12.39,182021
15-Mar-11,12.45,12.51,12.13,12.45,365736
14-Mar-11,12.60,12.70,12.51,12.59,207222
11-Mar-11,12.35,12.62,12.05,12.60,304728
10-Mar-11,12.50,12.50,12.20,12.46,309821
9-Mar-11,12.18,12.61,12.18,12.59,427648
