Date,Open,High,Low,Close,Volume
24-Jun-11,45.07,45.48,43.77,44.45,181277
23-Jun-11,44.09,45.43,42.90,45.03,113850
22-Jun-11,45.61,46.60,45.07,45.16,109175
21-Jun-11,44.43,46.39,44.36,45.95,117184
20-Jun-11,42.29,44.04,42.22,43.97,117832
17-Jun-11,43.44,43.69,42.37,42.52,172743
16-Jun-11,43.44,44.15,41.53,42.77,95237
15-Jun-11,44.26,44.80,43.40,43.50,178335
14-Jun-11,43.58,45.83,42.34,45.25,244769
13-Jun-11,43.46,43.92,42.56,42.93,152929
10-Jun-11,44.87,45.17,42.58,43.33,181095
9-Jun-11,45.31,45.79,44.53,45.33,101701
8-Jun-11,46.36,46.94,45.09,45.21,199113
7-Jun-11,47.24,47.64,45.90,46.61,136746
6-Jun-11,47.89,47.99,46.59,46.76,180625
3-Jun-11,49.68,50.60,48.28,48.29,285321
2-Jun-11,50.54,52.15,50.15,50.79,196849
1-Jun-11,53.07,53.55,50.14,50.34,395704
31-May-11,52.61,53.47,52.40,53.40,227830
27-May-11,52.24,52.24,52.24,52.24,0
26-May-11,50.64,52.38,50.44,52.24,75490
25-May-11,49.87,51.49,49.32,50.91,145366
24-May-11,51.05,51.41,49.78,50.21,162130
23-May-11,50.57,51.65,50.04,50.83,191382
20-May-11,53.55,53.79,52.00,52.31,113157
19-May-11,53.69,55.09,53.25,54.07,147932
18-May-11,51.51,53.39,51.32,53.09,102824
17-May-11,51.85,52.89,51.28,51.60,138721
16-May-11,52.65,54.18,52.00,52.51,168462
13-May-11,54.96,55.41,52.81,53.25,227196
12-May-11,56.67,57.27,54.63,55.32,181711
11-May-11,60.01,60.02,56.85,57.13,166844
10-May-11,59.13,60.17,59.11,59.87,107646
9-May-11,58.63,59.19,57.29,58.77,262561
6-May-11,61.23,61.71,58.83,59.20,210285
5-May-11,58.50,65.04,57.80,60.25,714905
4-May-11,58.00,58.57,54.30,55.05,194807
3-May-11,58.80,59.00,56.88,57.85,204664
2-May-11,59.63,59.82,58.50,59.00,97106
29-Apr-11,59.55,59.99,58.79,59.01,174716
28-Apr-11,59.18,59.93,59.03,59.63,127879
27-Apr-11,59.63,59.92,58.26,59.04,260049
26-Apr-11,58.81,59.47,58.34,59.15,114775
25-Apr-11,58.59,58.77,57.65,58.16,121545
21-Apr-11,58.17,58.17,58.17,58.17,0
20-Apr-11,54.58,57.39,54.58,57.22,132437
19-Apr-11,53.26,53.89,52.60,53.72,146219
18-Apr-11,53.89,53.89,52.55,53.14,210041
15-Apr-11,52.09,54.17,51.55,54.10,133868
14-Apr-11,50.47,52.08,49.68,51.96,129520
13-Apr-11,51.52,52.05,49.94,51.31,174054
12-Apr-11,51.96,52.04,50.69,51.17,174340
11-Apr-11,54.00,54.57,51.88,52.69,158553
8-Apr-11,55.45,55.45,53.18,53.63,168405
7-Apr-11,55.05,55.92,54.11,54.65,140676
6-Apr-11,54.72,55.84,53.88,54.76,211345
5-Apr-11,53.54,54.24,52.61,54.24,176562
4-Apr-11,54.39,54.40,52.63,53.22,245956
1-Apr-11,50.96,53.82,50.96,53.80,212341
31-Mar-11,51.23,51.59,50.58,50.93,89852
30-Mar-11,50.25,51.30,49.92,51.26,119828
29-Mar-11,48.59,50.10,48.34,50.05,87010
28-Mar-11,48.85,49.36,48.57,48.95,143215
25-Mar-11,49.57,49.82,48.51,48.60,253195
24-Mar-11,47.38,49.73,47.38,49.53,227882
23-Mar-11,46.03,47.59,45.38,46.97,135856
22-Mar-11,47.13,47.44,45.58,46.30,129520
21-Mar-11,43.05,46.80,43.05,46.78,351297
18-Mar-11,44.82,44.94,43.87,44.00,406401
17-Mar-11,44.43,44.66,43.43,44.02,318205
16-Mar-11,43.69,44.34,42.86,43.60,229689
15-Mar-11,42.54,44.11,42.50,43.80,427623
14-Mar-11,42.64,44.35,42.51,44.15,267937
11-Mar-11,42.22,43.63,41.71,43.31,214781
10-Mar-11,41.95,42.93,41.70,42.25,362334
9-Mar-11,41.03,43.57,40.65,43.23,365266
8-Mar-11,39.57,42.15,39.48,41.53,298456
7-Mar-11,39.88,40.14,38.51,39.60,215167
4-Mar-11,39.20,40.64,38.64,39.77,529849
3-Mar-11,37.74,40.66,37.14,40.18,1085834
2-Mar-11,30.13,30.57,29.54,30.31,255557
1-Mar-11,30.55,31.64,29.76,30.08,232980
28-Feb-11,30.16,30.59,30.16,30.53,109768
25-Feb-11,29.08,29.98,28.79,29.90,99351
24-Feb-11,27.56,28.81,27.29,28.72,185896
23-Feb-11,29.22,29.22,27.56,27.60,137838
22-Feb-11,29.62,30.58,29.15,29.25,182844
18-Feb-11,30.00,30.00,30.00,30.00,0
17-Feb-11,29.86,29.90,29.58,29.82,50608
16-Feb-11,29.23,29.87,29.23,29.78,66469
15-Feb-11,29.43,29.81,28.85,29.05,343141
14-Feb-11,29.73,29.75,29.03,29.53,83340
11-Feb-11,29.69,30.07,29.21,29.61,59459
10-Feb-11,29.91,30.69,29.56,29.72,63077
9-Feb-11,30.38,30.57,29.69,30.23,46319
8-Feb-11,31.05,31.21,30.30,30.61,42724
7-Feb-11,29.86,31.21,29.84,31.19,88094
4-Feb-11,30.02,30.31,29.70,29.89,80575
3-Feb-11,29.52,30.09,28.90,30.01,77095
2-Feb-11,29.28,29.51,28.96,29.50,37948
1-Feb-11,28.96,30.10,28.73,29.31,99354
31-Jan-11,28.38,28.83,28.21,28.65,181920
28-Jan-11,29.17,29.17,27.81,28.28,126445
27-Jan-11,29.85,30.26,29.14,29.14,68773
26-Jan-11,28.83,30.06,28.51,29.96,84527
25-Jan-11,29.06,29.06,28.14,28.78,116590
24-Jan-11,28.02,29.55,27.96,29.16,124708
21-Jan-11,29.31,29.31,28.00,28.17,92302
20-Jan-11,30.11,30.21,28.65,29.10,143326
19-Jan-11,31.89,31.89,29.75,29.98,112632
18-Jan-11,31.97,32.16,31.60,32.00,57228
14-Jan-11,32.01,32.01,32.01,32.01,0
13-Jan-11,32.48,33.00,32.26,32.69,58895
12-Jan-11,32.95,32.95,32.17,32.39,78221
11-Jan-11,33.63,33.71,32.37,32.53,91032
10-Jan-11,31.89,33.28,31.51,33.10,281519
7-Jan-11,30.20,32.45,30.20,32.26,264550
6-Jan-11,29.09,30.31,28.76,30.05,210485
5-Jan-11,28.82,29.31,28.40,29.12,108949
4-Jan-11,30.23,30.41,28.62,29.02,145012
3-Jan-11,28.71,30.24,28.32,30.08,113747
31-Dec-10,28.07,28.38,27.58,28.25,106711
30-Dec-10,28.62,29.02,28.15,28.34,83722
29-Dec-10,28.66,28.70,27.32,28.60,133602
28-Dec-10,29.28,29.65,28.71,28.71,48277
27-Dec-10,29.40,29.64,29.01,29.38,105322
23-Dec-10,29.91,29.91,29.91,29.91,0
22-Dec-10,30.68,30.80,30.19,30.32,86002
