Date,Open,High,Low,Close,Volume
24-Jun-11,32.15,32.55,31.69,22.17,88726
23-Jun-11,31.80,32.25,31.18,22.40,124368
22-Jun-11,32.17,32.79,31.93,23.10,126483
21-Jun-11,31.23,32.45,31.23,22.68,217314
20-Jun-11,30.76,31.19,30.10,23.33,225192
17-Jun-11,31.04,31.31,30.43,23.10,287241
16-Jun-11,32.24,32.38,30.70,23.19,574988
15-Jun-11,33.01,33.95,32.24,23.65,257088
14-Jun-11,32.85,33.46,32.65,23.87,182080
13-Jun-11,33.26,33.50,31.87,23.82,298309
10-Jun-11,33.61,33.63,33.20,23.63,128463
9-Jun-11,33.34,33.75,33.10,23.95,138769
8-Jun-11,33.82,34.11,33.18,23.83,164160
7-Jun-11,33.56,34.00,33.10,23.75,279095
6-Jun-11,34.20,34.44,33.35,24.05,157726
3-Jun-11,34.42,34.68,34.13,23.36,169914
2-Jun-11,35.01,35.50,34.51,22.61,260980
1-Jun-11,35.45,35.84,34.71,22.38,568108
31-May-11,35.64,35.96,34.85,22.39,248607
27-May-11,35.25,35.25,35.25,22.15,0
26-May-11,34.95,35.24,34.64,22.29,214545
25-May-11,34.25,35.17,34.23,22.24,1428615
24-May-11,34.63,34.94,33.82,22.43,159137
23-May-11,34.51,34.51,33.82,22.23,168344
20-May-11,34.55,35.24,33.93,22.13,202960
19-May-11,35.24,35.59,34.38,22.18,258408
18-May-11,34.49,35.21,34.40,22.17,487726
17-May-11,35.32,35.37,33.90,22.08,559307
16-May-11,36.16,36.50,34.61,22.19,547306
13-May-11,34.36,36.83,34.12,22.27,1902698
