Date,Open,High,Low,Close,Volume
24-Jun-11,52.20,52.38,50.63,51.18,2134551
23-Jun-11,51.30,52.10,48.59,52.00,1026213
22-Jun-11,51.66,53.01,51.43,52.40,660449
21-Jun-11,49.66,52.33,49.66,51.95,833697
20-Jun-11,48.59,49.41,47.87,49.16,402324
17-Jun-11,49.35,50.44,48.69,48.76,655925
16-Jun-11,50.78,51.11,48.04,48.85,560332
15-Jun-11,51.90,52.49,50.56,50.72,422984
14-Jun-11,51.36,53.71,51.36,52.81,530401
13-Jun-11,51.51,51.78,50.37,50.51,519839
10-Jun-11,51.60,52.00,51.05,51.31,528590
9-Jun-11,51.58,52.69,51.27,52.04,375639
8-Jun-11,53.12,53.12,51.30,51.42,433652
7-Jun-11,53.58,54.19,52.57,53.34,493367
6-Jun-11,53.14,54.10,52.80,53.15,382915
3-Jun-11,54.30,54.30,52.98,53.08,517358
2-Jun-11,54.61,55.79,53.84,55.45,378245
1-Jun-11,56.13,56.36,54.61,54.71,446386
31-May-11,56.92,57.54,55.65,56.10,579716
27-May-11,55.75,55.75,55.75,55.75,0
26-May-11,54.75,57.15,54.31,56.08,615043
25-May-11,51.02,55.42,51.00,55.00,842729
24-May-11,52.09,52.90,50.91,51.19,592166
23-May-11,52.45,52.45,51.22,51.73,999821
20-May-11,55.13,55.31,53.70,53.80,510311
19-May-11,55.82,56.39,54.99,55.46,528181
18-May-11,53.81,55.24,53.55,55.09,423107
17-May-11,54.01,54.13,52.48,53.58,1019390
16-May-11,57.59,57.97,54.33,54.37,866853
13-May-11,57.75,59.30,57.41,58.02,800294
12-May-11,57.97,58.43,56.42,57.10,611221
11-May-11,60.62,60.62,57.21,58.20,459938
10-May-11,60.18,61.28,60.00,60.72,383421
9-May-11,60.05,60.56,59.13,59.83,536469
6-May-11,59.33,61.18,59.04,59.65,560790
5-May-11,58.71,59.94,57.39,58.44,678606
4-May-11,59.56,60.33,58.58,58.92,683879
3-May-11,65.83,65.83,58.86,59.54,1656054
2-May-11,66.17,67.77,65.68,65.97,605431
29-Apr-11,65.40,66.38,65.23,65.65,291541
28-Apr-11,65.86,65.89,64.06,65.07,404096
27-Apr-11,66.52,66.90,65.06,65.77,308169
26-Apr-11,65.34,67.50,65.34,66.18,546603
25-Apr-11,64.47,65.26,64.00,64.85,338953
21-Apr-11,64.46,64.46,64.46,64.46,0
20-Apr-11,61.05,62.95,60.48,62.73,277252
19-Apr-11,60.02,60.04,59.51,60.01,249396
18-Apr-11,59.71,60.19,58.65,59.82,366056
15-Apr-11,59.29,60.91,59.29,60.66,497542
14-Apr-11,58.60,59.40,58.07,59.31,264690
13-Apr-11,58.29,59.18,57.04,59.10,411360
12-Apr-11,57.41,58.50,56.91,57.55,504514
11-Apr-11,60.25,60.44,57.45,57.95,780088
8-Apr-11,59.58,60.07,59.25,60.04,499726
7-Apr-11,57.65,59.26,57.58,59.12,378213
