Date,Open,High,Low,Close,Volume
24-Jun-11,13.38,13.45,13.05,13.06,4405870
23-Jun-11,12.81,13.45,12.68,13.41,8008562
22-Jun-11,13.03,13.22,12.86,12.98,3997556
21-Jun-11,12.72,13.24,12.66,13.04,5619708
20-Jun-11,12.63,12.85,12.45,12.64,6608409
17-Jun-11,12.95,13.07,12.52,12.56,8125249
16-Jun-11,13.32,13.36,12.63,12.82,8990011
15-Jun-11,13.49,13.69,13.30,13.33,7478462
14-Jun-11,13.45,13.85,13.45,13.67,7545189
13-Jun-11,13.63,13.72,13.16,13.32,6874091
10-Jun-11,13.64,13.76,13.11,13.62,9203246
9-Jun-11,13.78,13.86,13.57,13.73,5831118
8-Jun-11,14.24,14.31,13.55,13.69,9683973
7-Jun-11,14.18,14.60,14.16,14.32,6542536
6-Jun-11,14.23,14.41,14.10,14.16,6553806
3-Jun-11,14.52,14.66,14.23,14.30,5828679
2-Jun-11,14.59,14.99,14.54,14.78,8174787
1-Jun-11,15.05,15.07,14.55,14.62,7720371
31-May-11,15.15,15.37,14.91,15.02,7085816
27-May-11,14.90,14.90,14.90,14.90,0
26-May-11,14.42,14.57,14.19,14.35,7350406
25-May-11,14.06,14.56,14.02,14.45,6889724
24-May-11,14.15,14.22,13.93,14.08,5708912
23-May-11,14.04,14.21,13.72,14.00,6405021
20-May-11,14.49,14.62,14.20,14.32,6008752
19-May-11,14.40,14.67,14.29,14.62,5414393
18-May-11,14.05,14.60,13.99,14.51,5829356
17-May-11,14.27,14.28,13.42,14.00,14241871
16-May-11,14.92,15.16,14.36,14.37,6671195
13-May-11,15.14,15.29,14.97,14.99,4920870
12-May-11,14.87,15.30,14.60,15.17,6538571
11-May-11,15.26,15.38,14.89,14.94,7724665
10-May-11,15.20,15.40,15.09,15.28,8257100
9-May-11,14.87,15.24,14.78,15.20,6482214
6-May-11,14.61,15.09,14.52,14.89,10060826
5-May-11,14.10,14.66,13.88,14.43,15501845
4-May-11,14.80,15.01,14.34,14.75,10454912
3-May-11,15.06,15.06,14.40,14.70,8612738
2-May-11,15.48,15.65,14.95,15.03,8111436
29-Apr-11,15.02,15.42,14.86,15.30,6451986
28-Apr-11,15.11,15.31,14.89,15.04,7870180
27-Apr-11,15.25,15.25,14.93,15.20,10831029
26-Apr-11,14.84,15.37,14.73,15.18,9250612
25-Apr-11,14.81,14.88,14.61,14.72,5751489
21-Apr-11,14.85,14.85,14.85,14.85,0
20-Apr-11,13.58,14.24,13.53,14.21,8641669
19-Apr-11,13.02,13.35,13.01,13.33,6393984
18-Apr-11,13.07,13.23,12.80,12.97,6655935
15-Apr-11,13.20,13.54,12.96,13.35,6147635
14-Apr-11,12.93,13.15,12.86,13.09,4977546
13-Apr-11,12.52,13.14,12.44,13.01,9544600
12-Apr-11,12.97,12.98,12.28,12.44,10694917
11-Apr-11,13.59,13.64,12.86,13.11,9885221
8-Apr-11,13.29,13.68,13.23,13.60,7275911
7-Apr-11,13.25,13.45,12.97,13.15,6697515
6-Apr-11,13.62,13.64,13.11,13.27,4404655
5-Apr-11,13.31,13.62,13.26,13.39,5444246
4-Apr-11,13.09,13.34,12.91,13.14,6540591
1-Apr-11,13.79,13.84,13.07,13.15,6488609
31-Mar-11,13.43,13.66,13.37,13.63,7172080
30-Mar-11,13.64,13.76,13.34,13.41,6907174
29-Mar-11,13.21,13.59,13.06,13.54,7145562
28-Mar-11,13.40,13.51,13.10,13.12,8489038
