Date,Open,High,Low,Close,Volume
24-Jun-11,6.12,6.20,6.11,6.19,38974
23-Jun-11,5.89,6.17,5.89,6.11,32951
22-Jun-11,6.14,6.26,5.89,5.97,52234
21-Jun-11,5.98,6.33,5.91,6.12,49813
20-Jun-11,5.96,6.16,5.92,5.92,25854
17-Jun-11,6.10,6.10,5.95,5.98,62587
16-Jun-11,6.28,6.36,5.93,6.05,65034
15-Jun-11,6.37,6.44,6.19,6.27,28905
14-Jun-11,6.41,6.73,6.29,6.34,146419
13-Jun-11,6.19,6.49,6.01,6.35,92299
10-Jun-11,6.02,6.24,6.00,6.14,61065
9-Jun-11,5.98,6.18,5.93,6.10,59127
8-Jun-11,6.05,6.14,5.90,5.94,29593
7-Jun-11,5.96,6.16,5.95,6.05,23011
6-Jun-11,6.03,6.15,5.89,5.94,56440
3-Jun-11,6.16,6.23,5.88,6.11,70353
2-Jun-11,6.32,6.57,6.12,6.19,17921
1-Jun-11,6.45,6.52,6.33,6.37,40523
31-May-11,6.53,6.61,6.39,6.44,73727
27-May-11,6.46,6.46,6.46,6.46,0
26-May-11,6.27,6.56,6.21,6.45,62289
25-May-11,6.13,6.31,6.04,6.27,39448
24-May-11,6.09,6.27,6.09,6.12,34360
23-May-11,6.19,6.37,6.10,6.10,41005
20-May-11,6.31,6.37,6.19,6.28,25416
19-May-11,6.23,6.35,6.22,6.30,51612
18-May-11,6.19,6.32,6.09,6.22,47464
17-May-11,6.04,6.33,6.03,6.16,62878
16-May-11,6.42,6.47,6.00,6.10,118710
13-May-11,6.38,6.56,6.37,6.48,110042
12-May-11,6.33,6.36,6.22,6.35,39565
11-May-11,6.47,6.58,6.10,6.35,100039
10-May-11,6.22,6.48,6.15,6.48,112737
9-May-11,6.26,6.26,5.98,6.17,68458
6-May-11,6.50,6.65,5.87,6.23,187297
5-May-11,6.57,6.67,6.31,6.38,157396
4-May-11,6.83,7.00,6.57,6.70,80406
3-May-11,6.91,6.94,6.66,6.86,73987
2-May-11,7.16,7.21,6.88,6.96,34125
29-Apr-11,6.99,7.16,6.77,7.13,44692
28-Apr-11,7.20,7.24,6.97,6.98,69051
27-Apr-11,7.03,7.28,6.96,7.22,80406
26-Apr-11,7.14,7.38,6.90,6.98,144389
25-Apr-11,6.48,7.19,6.38,7.09,221148
21-Apr-11,6.45,6.45,6.45,6.45,0
20-Apr-11,6.26,6.32,5.99,6.05,115478
19-Apr-11,6.14,6.25,5.96,6.25,68089
18-Apr-11,6.05,6.15,6.00,6.08,43090
15-Apr-11,6.41,6.43,6.15,6.16,66126
14-Apr-11,6.10,6.46,6.00,6.32,173641
13-Apr-11,5.88,6.28,5.82,6.21,167320
12-Apr-11,5.99,6.10,5.76,5.81,123300
11-Apr-11,6.14,6.22,5.94,6.05,109104
8-Apr-11,6.24,6.48,6.02,6.11,258652
7-Apr-11,6.22,6.55,6.00,6.21,255035
6-Apr-11,6.42,6.42,6.14,6.16,242606
5-Apr-11,6.59,6.65,6.35,6.42,77817
4-Apr-11,7.06,7.06,6.30,6.60,383722
1-Apr-11,7.16,7.42,6.97,7.07,75335
31-Mar-11,7.31,7.39,7.06,7.14,39016
30-Mar-11,7.33,7.46,7.22,7.30,37565
29-Mar-11,7.25,7.39,7.07,7.34,24718
28-Mar-11,7.35,7.40,7.20,7.26,53022
25-Mar-11,7.58,7.74,7.25,7.36,82060
24-Mar-11,7.34,7.70,7.11,7.58,75423
23-Mar-11,7.50,7.50,7.25,7.33,69702
22-Mar-11,7.26,7.52,7.06,7.50,87746
21-Mar-11,7.58,7.78,7.23,7.28,118735
18-Mar-11,7.17,7.65,7.06,7.49,165002
17-Mar-11,7.12,7.15,6.90,7.05,112738
16-Mar-11,7.24,7.45,6.92,6.99,122525
15-Mar-11,6.97,7.36,6.67,7.28,230344
14-Mar-11,7.68,7.72,7.11,7.21,281916
11-Mar-11,7.90,7.90,7.60,7.69,134276
10-Mar-11,8.22,8.22,7.87,7.98,167210
9-Mar-11,8.03,8.60,7.93,8.37,396130
8-Mar-11,8.50,8.57,8.05,8.18,384032
7-Mar-11,9.10,9.10,8.35,8.57,511261
4-Mar-11,9.99,9.99,8.87,9.07,1166474
3-Mar-11,11.44,11.92,11.17,11.72,222596
2-Mar-11,11.49,11.57,10.96,11.28,100025
1-Mar-11,12.04,12.07,11.30,11.41,148333
28-Feb-11,11.64,12.21,11.64,12.00,198772
25-Feb-11,11.16,11.63,11.12,11.52,102836
24-Feb-11,11.51,11.51,10.82,11.07,226682
23-Feb-11,11.90,11.99,10.60,11.54,359291
22-Feb-11,12.95,12.97,11.78,11.83,364684
18-Feb-11,12.95,12.95,12.95,12.95,0
17-Feb-11,11.75,13.23,11.64,13.18,637725
16-Feb-11,11.55,12.14,11.06,11.78,355323
15-Feb-11,12.01,12.42,11.31,11.47,415398
