Date,Open,High,Low,Close,Volume
24-Jun-11,7.94,8.12,7.85,8.10,1098764
23-Jun-11,7.79,7.97,7.71,7.90,826549
22-Jun-11,7.92,8.19,7.85,7.90,886644
21-Jun-11,7.84,7.91,7.78,7.86,803725
20-Jun-11,7.85,8.00,7.73,7.78,1008492
17-Jun-11,8.05,8.23,7.83,7.86,1427306
16-Jun-11,8.11,8.58,7.78,8.01,1361486
15-Jun-11,8.23,8.53,8.17,8.49,1285615
14-Jun-11,8.23,8.28,8.14,8.21,736789
13-Jun-11,8.31,8.39,8.10,8.17,584427
10-Jun-11,8.34,8.41,8.18,8.24,685899
9-Jun-11,8.53,8.58,8.21,8.41,630591
8-Jun-11,8.88,8.95,8.45,8.46,1132486
7-Jun-11,8.79,9.26,8.76,8.94,586750
6-Jun-11,8.80,8.88,8.71,8.75,717296
3-Jun-11,8.94,9.07,8.85,8.85,486416
2-Jun-11,9.07,9.20,8.91,9.12,659201
1-Jun-11,9.10,9.19,8.95,9.07,1364821
31-May-11,8.97,9.20,8.70,9.12,3015737
27-May-11,8.63,8.63,8.63,8.63,0
26-May-11,8.30,8.63,8.21,8.55,873783
25-May-11,8.09,8.33,8.09,8.31,584242
24-May-11,8.11,8.30,8.00,8.13,643056
23-May-11,8.09,8.15,7.96,8.08,571380
20-May-11,7.98,8.29,7.98,8.22,725906
19-May-11,8.13,8.18,7.91,8.04,544332
18-May-11,7.99,8.04,7.86,8.01,569477
17-May-11,7.96,8.09,7.71,7.84,965385
16-May-11,8.30,8.35,7.96,7.96,685746
13-May-11,8.34,8.36,7.92,8.16,973547
12-May-11,8.30,8.40,8.05,8.36,632869
11-May-11,8.75,8.80,8.29,8.34,787653
10-May-11,8.62,8.85,8.54,8.75,721742
9-May-11,8.57,8.70,8.35,8.55,656278
6-May-11,8.19,8.75,8.05,8.64,1161854
5-May-11,8.01,8.25,7.92,8.07,563526
4-May-11,8.26,8.30,7.78,8.07,723889
3-May-11,8.60,8.70,8.07,8.25,838267
2-May-11,8.77,8.90,8.51,8.54,460551
29-Apr-11,8.81,8.91,8.62,8.83,361430
28-Apr-11,8.81,8.99,8.71,8.76,456943
27-Apr-11,8.76,8.83,8.57,8.82,373470
26-Apr-11,8.73,8.87,8.65,8.78,484470
25-Apr-11,8.60,8.74,8.54,8.70,423280
21-Apr-11,8.54,8.54,8.54,8.54,0
20-Apr-11,8.42,8.50,8.37,8.48,395765
19-Apr-11,8.40,8.42,8.25,8.29,424362
18-Apr-11,8.25,8.46,8.07,8.36,756368
15-Apr-11,8.42,8.62,8.32,8.42,592683
14-Apr-11,8.16,8.45,8.14,8.44,920956
13-Apr-11,8.40,8.50,8.11,8.16,1261140
12-Apr-11,8.54,8.55,8.32,8.35,755375
11-Apr-11,8.80,8.90,8.55,8.58,692692
8-Apr-11,8.94,8.98,8.75,8.80,395094
7-Apr-11,8.91,9.01,8.78,8.93,818191
6-Apr-11,9.07,9.21,8.75,8.88,1320622
5-Apr-11,9.22,9.27,8.98,9.06,1771115
4-Apr-11,9.67,9.70,9.21,9.38,1348407
1-Apr-11,10.10,10.10,9.86,9.90,527184
31-Mar-11,10.01,10.08,9.74,10.04,820880
30-Mar-11,9.82,10.19,9.73,10.02,2004058
29-Mar-11,9.20,10.00,9.10,9.73,2607517
28-Mar-11,9.20,9.26,9.11,9.22,614554
25-Mar-11,9.24,9.25,9.12,9.14,475013
24-Mar-11,9.07,9.26,8.99,9.18,640749
23-Mar-11,9.10,9.10,8.93,9.02,995692
22-Mar-11,9.30,9.30,9.05,9.16,568403
21-Mar-11,9.28,9.40,9.03,9.30,1096573
18-Mar-11,9.11,9.30,8.95,9.16,3453973
17-Mar-11,8.92,9.20,8.72,9.00,2708316
16-Mar-11,8.83,9.00,8.51,8.68,1180029
15-Mar-11,8.50,8.92,8.49,8.83,758298
14-Mar-11,8.54,8.91,8.46,8.80,922169
11-Mar-11,8.51,8.65,8.39,8.60,508092
10-Mar-11,8.67,8.67,8.41,8.55,927996
9-Mar-11,8.64,8.84,8.52,8.77,723752
8-Mar-11,8.64,8.80,8.46,8.59,780041
7-Mar-11,8.70,8.72,8.30,8.62,964646
4-Mar-11,8.46,9.12,8.40,8.70,1440403
3-Mar-11,8.53,8.65,8.42,8.63,943058
2-Mar-11,8.38,8.66,8.31,8.49,604275
1-Mar-11,8.41,8.55,8.30,8.38,1211573
28-Feb-11,8.71,8.90,8.18,8.39,1177190
25-Feb-11,8.22,8.75,8.16,8.59,1197659
24-Feb-11,8.17,8.25,8.03,8.14,879772
23-Feb-11,8.36,8.45,7.99,8.19,863014
22-Feb-11,8.43,8.69,8.26,8.33,941064
18-Feb-11,8.51,8.51,8.51,8.51,0
17-Feb-11,8.97,9.01,8.74,8.89,794306
16-Feb-11,8.98,9.07,8.85,8.96,961507
15-Feb-11,9.10,9.13,8.69,8.87,2576699
14-Feb-11,9.57,9.64,9.46,9.58,576903
11-Feb-11,9.39,9.62,9.27,9.56,1077457
10-Feb-11,9.10,9.47,8.88,9.47,1256070
9-Feb-11,9.60,9.60,9.11,9.19,1656389
8-Feb-11,9.85,9.86,9.25,9.62,2000342
7-Feb-11,9.90,10.25,9.75,9.89,2127816
4-Feb-11,10.28,10.40,9.67,9.87,2518378
3-Feb-11,9.29,10.16,9.10,10.00,4066529
2-Feb-11,8.31,9.44,8.25,9.33,4038006
1-Feb-11,8.24,8.55,7.83,8.34,4119375
31-Jan-11,8.50,8.60,8.05,8.38,12172935
28-Jan-11,6.22,6.33,6.10,6.24,2126674
27-Jan-11,6.21,6.28,6.14,6.18,1002308
26-Jan-11,6.35,6.39,6.18,6.21,1597273
25-Jan-11,6.20,6.38,6.11,6.29,1675756
24-Jan-11,5.94,6.29,5.90,6.20,1877049
21-Jan-11,5.94,6.05,5.75,5.81,1661195
20-Jan-11,5.67,6.07,5.54,5.90,1985194
19-Jan-11,5.72,6.01,5.40,5.66,4116372
18-Jan-11,7.15,7.24,6.25,6.58,3938630
14-Jan-11,7.12,7.12,7.12,7.12,0
13-Jan-11,6.98,7.19,6.97,7.06,680805
12-Jan-11,7.16,7.17,6.95,7.02,825285
11-Jan-11,7.00,7.25,6.93,7.07,1003269
10-Jan-11,6.71,6.99,6.69,6.96,845580
7-Jan-11,6.75,6.79,6.61,6.75,634544
6-Jan-11,6.50,6.78,6.47,6.75,1098228
5-Jan-11,6.43,6.54,6.36,6.53,598504
4-Jan-11,6.55,6.60,6.27,6.43,751379
3-Jan-11,6.43,6.62,6.31,6.52,1045480
31-Dec-10,6.49,6.53,6.36,6.36,738732
30-Dec-10,6.59,6.60,6.44,6.48,655211
29-Dec-10,6.45,6.73,6.44,6.56,1420055
28-Dec-10,6.18,6.43,6.16,6.41,1656167
27-Dec-10,5.80,6.04,5.78,6.00,822215
23-Dec-10,5.79,5.79,5.79,5.79,0
22-Dec-10,5.88,5.89,5.75,5.82,504226
21-Dec-10,5.85,5.90,5.76,5.84,695701
20-Dec-10,5.83,5.83,5.74,5.80,988458
17-Dec-10,5.88,5.90,5.76,5.77,1135414
16-Dec-10,5.97,5.99,5.80,5.84,1502360
15-Dec-10,5.62,5.82,5.59,5.74,1097831
14-Dec-10,5.58,5.62,5.53,5.62,305173
13-Dec-10,5.53,5.62,5.45,5.58,392305
10-Dec-10,5.59,5.60,5.51,5.52,386481
9-Dec-10,5.47,5.62,5.46,5.60,563993
8-Dec-10,5.47,5.48,5.40,5.46,232236
7-Dec-10,5.47,5.49,5.44,5.45,459240
6-Dec-10,5.47,5.49,5.40,5.43,728314
3-Dec-10,5.40,5.49,5.38,5.47,848187
2-Dec-10,5.41,5.45,5.35,5.41,969494
1-Dec-10,5.50,5.53,5.37,5.38,977413
30-Nov-10,5.37,5.55,5.37,5.46,1777999
29-Nov-10,5.32,5.48,5.30,5.40,1054898
26-Nov-10,5.37,5.40,5.31,5.35,111816
24-Nov-10,5.39,5.39,5.39,5.39,0
23-Nov-10,5.33,5.36,5.29,5.33,283247
22-Nov-10,5.31,5.48,5.30,5.39,323624
19-Nov-10,5.39,5.40,5.27,5.32,1296858
18-Nov-10,5.39,5.60,5.35,5.38,671487
17-Nov-10,5.32,5.37,5.25,5.36,383848
16-Nov-10,5.30,5.40,5.20,5.30,582952
15-Nov-10,5.29,5.41,5.23,5.35,560769
12-Nov-10,5.22,5.30,5.21,5.27,337961
11-Nov-10,5.23,5.32,5.19,5.25,553874
10-Nov-10,5.18,5.29,5.17,5.27,405150
9-Nov-10,5.20,5.25,5.15,5.19,480440
8-Nov-10,5.24,5.27,5.11,5.19,393980
5-Nov-10,5.06,5.12,5.03,5.11,396735
4-Nov-10,5.05,5.15,4.99,5.05,557248
3-Nov-10,4.94,5.04,4.91,4.95,289236
2-Nov-10,5.03,5.18,4.91,4.94,385637
1-Nov-10,5.00,5.11,4.87,4.94,560881
29-Oct-10,4.88,4.91,4.81,4.89,213888
28-Oct-10,4.90,4.92,4.81,4.89,144411
27-Oct-10,4.86,4.91,4.80,4.84,147091
26-Oct-10,4.87,4.93,4.83,4.89,192912
25-Oct-10,4.90,4.96,4.81,4.89,189104
22-Oct-10,4.96,5.01,4.84,4.87,189396
21-Oct-10,5.08,5.09,4.86,4.95,286332
20-Oct-10,4.95,5.09,4.90,5.04,247105
19-Oct-10,5.05,5.14,4.89,4.93,453575
18-Oct-10,5.04,5.21,5.00,5.15,390616
15-Oct-10,4.91,5.13,4.84,5.04,565917
14-Oct-10,4.79,4.90,4.77,4.88,237012
13-Oct-10,4.85,4.87,4.73,4.81,479458
12-Oct-10,4.73,4.88,4.70,4.83,327189
11-Oct-10,4.76,4.85,4.73,4.76,125957
8-Oct-10,4.60,4.77,4.52,4.75,324566
7-Oct-10,4.62,4.68,4.57,4.59,188525
6-Oct-10,4.61,4.64,4.50,4.57,210800
5-Oct-10,4.39,4.67,4.27,4.62,354480
4-Oct-10,4.43,4.48,4.27,4.33,216239
1-Oct-10,4.54,4.54,4.35,4.46,233445
30-Sep-10,4.49,4.65,4.44,4.48,522114
29-Sep-10,4.44,4.47,4.37,4.47,181657
28-Sep-10,4.24,4.45,4.23,4.45,243797
27-Sep-10,4.22,4.25,4.20,4.22,151358
24-Sep-10,4.22,4.26,4.15,4.21,360244
23-Sep-10,4.25,4.31,4.13,4.22,319540
22-Sep-10,4.38,4.38,4.14,4.31,194163
21-Sep-10,4.33,4.50,4.25,4.39,464665
20-Sep-10,4.04,4.37,4.02,4.34,392699
17-Sep-10,3.98,4.18,3.85,4.04,406371
16-Sep-10,4.00,4.04,3.91,3.92,111592
15-Sep-10,3.99,4.05,3.97,4.02,86847
14-Sep-10,4.10,4.10,3.92,4.00,347152
