Date,Open,High,Low,Close,Volume
24-Jun-11,16.96,17.07,16.71,17.07,184927
23-Jun-11,17.06,17.21,16.38,16.98,67335
22-Jun-11,17.71,17.98,17.26,17.27,47631
21-Jun-11,16.93,17.82,16.47,17.76,40824
20-Jun-11,16.26,16.83,16.20,16.75,43065
17-Jun-11,18.06,18.23,16.36,16.68,132139
16-Jun-11,18.30,18.71,17.59,17.91,32352
15-Jun-11,18.50,19.03,18.15,18.27,58639
14-Jun-11,18.28,19.22,18.23,18.69,56871
13-Jun-11,19.36,19.45,18.00,18.08,92071
10-Jun-11,19.52,19.80,19.01,19.36,43745
9-Jun-11,19.00,19.90,18.97,19.58,68170
8-Jun-11,18.90,19.12,18.77,18.97,39262
7-Jun-11,19.06,19.33,18.50,18.99,63476
6-Jun-11,18.18,18.95,18.09,18.88,52636
3-Jun-11,18.59,18.84,18.05,18.10,58617
2-Jun-11,18.66,19.25,18.50,18.80,104872
1-Jun-11,19.19,19.19,18.39,18.47,49365
31-May-11,18.36,19.34,18.15,19.19,106791
27-May-11,17.97,17.97,17.97,17.97,0
26-May-11,17.51,18.15,17.41,17.73,37596
25-May-11,16.72,17.73,16.72,17.59,64955
24-May-11,16.33,16.96,16.32,16.79,66789
23-May-11,16.25,16.55,16.25,16.26,20918
20-May-11,17.15,17.16,16.67,16.71,26194
19-May-11,16.61,17.58,16.59,17.21,74650
18-May-11,16.22,16.51,16.22,16.50,10836
17-May-11,16.42,16.69,16.17,16.25,17442
16-May-11,17.00,17.16,16.47,16.47,32815
13-May-11,17.42,17.65,16.99,17.02,16212
12-May-11,17.88,17.88,17.27,17.41,61029
11-May-11,17.92,18.34,17.76,17.94,87521
10-May-11,17.23,18.37,17.13,18.03,148167
9-May-11,15.99,17.38,15.99,17.14,113909
6-May-11,16.09,16.31,15.96,16.02,28030
5-May-11,16.04,16.36,15.82,15.93,48005
4-May-11,16.51,17.22,15.55,16.08,95509
3-May-11,16.01,16.54,15.94,16.34,154233
2-May-11,14.25,16.41,14.25,15.99,248802
29-Apr-11,13.84,14.24,13.80,14.24,60361
28-Apr-11,13.81,13.86,13.67,13.75,10823
27-Apr-11,13.91,13.91,13.73,13.86,24735
26-Apr-11,13.61,14.01,13.57,13.93,32259
25-Apr-11,14.05,14.27,13.50,13.61,94966
21-Apr-11,14.10,14.10,14.10,14.10,0
20-Apr-11,14.52,14.53,14.36,14.43,8736
19-Apr-11,14.55,14.84,14.32,14.32,11636
18-Apr-11,14.40,14.61,14.40,14.56,8055
15-Apr-11,14.14,14.68,13.90,14.66,39682
14-Apr-11,14.20,14.31,14.08,14.17,11135
13-Apr-11,14.47,14.52,14.25,14.32,24170
12-Apr-11,14.52,14.58,14.35,14.42,24371
11-Apr-11,14.67,14.96,14.54,14.55,15536
8-Apr-11,15.12,15.12,14.56,14.68,21408
7-Apr-11,14.99,15.20,14.99,15.04,9107
6-Apr-11,15.15,15.15,14.64,14.96,17306
5-Apr-11,14.85,15.09,14.47,15.09,13914
4-Apr-11,15.00,15.00,14.63,14.92,17694
